"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Smoc2";8,02362787925946e-22;-0,251128716845452;0,202;0,297;1,80034162354824e-17;"Smoc2"
"Cenpv";8,25909097165978e-22;-0,280634425744146;0,594;0,654;1,85317483222102e-17;"Cenpv"
"Snhg1";1,10002176492857e-21;-0,34287047654709;0,597;0,66;2,46822883614673e-17;"Snhg1"
"Hist1h2ae";1,33581978248787e-21;-0,402042785730886;0,219;0,314;2,99731242794629e-17;"Hist1h2ae"
"Tpt1";1,56544398403733e-21;-0,12748571096682;0,988;0,983;3,51254321138296e-17;"Tpt1"
"Mettl7b";1,6590821203177e-21;0,0737560644771336;0,264;0,169;3,72264846156887e-17;"Mettl7b"
"Slc27a2";1,95085700940729e-21;0,121272131888121;0,426;0,325;4,37733295770807e-17;"Slc27a2"
"Myb";2,72702449299163e-21;-0,242002907334215;0,222;0,322;6,11889755737462e-17;"Myb"
"Osgin1";2,93472232019601e-21;0,250300702230059;0,365;0,26;6,58492994205581e-17;"Osgin1"
"Ces2c";3,71307144674206e-21;0,312534873717374;0,401;0,313;8,33138971219984e-17;"Ces2c"
"Gsta3";5,00172176884563e-21;0,15791880306793;0,188;0,112;1,12228633049358e-16;"Gsta3"
"Jun";5,32539607026195e-21;-0,335851192131525;0,747;0,785;1,19491237024538e-16;"Jun"
"Ablim1";6,90243200847343e-21;0,254929911971139;0,309;0,209;1,54876769406127e-16;"Ablim1"
"Abhd14a";7,04896171133089e-21;-0,234852292995205;0,277;0,362;1,58164602878843e-16;"Abhd14a"
"Impdh2";7,26092851050019e-21;-0,318294797104474;0,32;0,411;1,62920713918603e-16;"Impdh2"
"Sectm1b";7,4882019530974e-21;0,0713234127363492;0,135;0,069;1,68020275423599e-16;"Sectm1b"
"Gimap4";8,43279006158721e-21;0,454638504947732;0,234;0,15;1,89214943401894e-16;"Gimap4"
