"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Scg3";2,70435774249524e-09;1,14560040651106;0,547;0,002;4,79915324983206e-05;"7";"Scg3"
"Nkx2-2";5,31038258727923e-09;1,07842774538804;0,566;0,004;9,42380493938572e-05;"7";"Nkx2-2"
"Btg21";6,11677794181943e-09;1,22285736347563;0,849;0,524;0,000108548341355528;"7";"Btg2"
"Ypel3";1,09811420823768e-08;0,783965230428256;0,537;0,191;0,000194871347393859;"7";"Ypel3"
"Ddc1";1,16540799889139e-08;1,45750551067845;0,809;0,387;0,000206813303483266;"7";"Ddc"
"5330417C22Rik1";1,16959812676206e-08;1,08000576064658;0,667;0,102;0,000207556883575196;"7";"5330417C22Rik"
"Isl1";1,49626681636315e-08;1,61297603779732;0,518;0,003;0,000265527509231804;"7";"Isl1"
"Resp18";3,43765866262904e-08;1,6040945606426;0,538;0,004;0,000610046906270149;"7";"Resp18"
"Scgn";3,43765866262904e-08;1,3579798225998;0,525;0,003;0,000610046906270149;"7";"Scgn"
"Prnp";3,43765866262904e-08;1,09711077620579;0,557;0,012;0,000610046906270149;"7";"Prnp"
"Cryba2";3,43765866262904e-08;1,01897266121441;0,485;0,008;0,000610046906270149;"7";"Cryba2"
"Cacna2d1";3,43765866262904e-08;1,01075967444049;0,508;0,003;0,000610046906270149;"7";"Cacna2d1"
"Gnao1";3,43765866262904e-08;0,865131308796427;0,453;0,002;0,000610046906270149;"7";"Gnao1"
"Camk2n11";4,89463025939585e-08;1,21077100373208;0,757;0,299;0,000868601085832388;"7";"Camk2n1"
"Cnot6l";5,44726434424082e-08;1,16779329469752;0,74;0,297;0,000966671530528976;"7";"Cnot6l"
"Itm2c";5,6627186564952e-08;1,00820895406402;0,586;0,17;0,00100490605278164;"7";"Itm2c"
"Pcsk1n";7,77888271636172e-08;1,53569309917323;0,558;0,003;0,00138044052684555;"7";"Pcsk1n"
"Ceacam10";7,77888271636172e-08;1,48344958698448;0,482;0,024;0,00138044052684555;"7";"Ceacam10"
"Fev";7,77888271636172e-08;1,01654427850191;0,488;0,002;0,00138044052684555;"7";"Fev"
"Rfx6";7,77888271636172e-08;0,81939636509179;0,41;0,002;0,00138044052684555;"7";"Rfx6"
"Hk2";1,06802217563219e-07;1,04892407409919;0,619;0,198;0,00189531215287688;"7";"Hk2"
"Rprml";1,73433623114879e-07;1,33453164833669;0,622;0,011;0,00307775307579664;"7";"Rprml"
"Scn3a";1,73433623114879e-07;1,03689119549429;0,361;0,001;0,00307775307579664;"7";"Scn3a"
"Vwa5b2";1,73433623114879e-07;0,892404762035369;0,468;0,004;0,00307775307579664;"7";"Vwa5b2"
"Ppp1r14c";1,73433623114879e-07;0,7136706829963;0,365;0,005;0,00307775307579664;"7";"Ppp1r14c"
"Gadd45g1";2,58893070215069e-07;1,33583531788877;0,638;0,16;0,00459431642403662;"7";"Gadd45g"
"AC149090.1";2,73655874444623e-07;1,01525116909195;0,666;0,259;0,00485629714789428;"7";"AC149090.1"
"Tac1";3,81130019167374e-07;3,11391722194072;0,436;0,009;0,00676353332014423;"7";"Tac1"
"Olfm1";3,81130019167374e-07;0,856015576428179;0,437;0,006;0,00676353332014423;"7";"Olfm1"
"Riiad1";3,81130019167374e-07;0,743794170593728;0,4;0,004;0,00676353332014423;"7";"Riiad1"
"Myl7";4,62655401464664e-07;1,87976794096807;0,512;0,211;0,00821028275439193;"7";"Myl7"
"Slc18a1";5,5143750594212e-07;0,906619607292772;0,387;0,013;0,00978580998044886;"7";"Slc18a1"
"Upb1";5,5143750594212e-07;0,651531740733786;0,351;0,066;0,00978580998044886;"7";"Upb1"
"Cdkn1c";6,05442423201923e-07;1,70099033450755;0,542;0,059;0,0107441812421413;"7";"Cdkn1c"
"Marcksl1";6,17809441806933e-07;0,825099343377717;0,527;0,229;0,0109636463543058;"7";"Marcksl1"
"Tox3";6,39526957746232e-07;0,973903307961204;0,645;0,305;0,0113490453921646;"7";"Tox3"
"Acly";7,75497463033328e-07;0,747949038750679;0,533;0,273;0,0137619779789894;"7";"Acly"
"Ghrl";8,25849688076695e-07;4,44787885736445;0,378;0,025;0,014655528564609;"7";"Ghrl"
"Rbp4";8,25849688076695e-07;2,71604221540777;0,458;0,013;0,014655528564609;"7";"Rbp4"
"Nefm";8,25849688076695e-07;1,39361121515252;0,522;0,002;0,014655528564609;"7";"Nefm"
"Rev3l";8,65306144760179e-07;0,781363294073664;0,543;0,187;0,0153557228449141;"7";"Rev3l"
"Tceal9";1,01020259416044e-06;0,973707666423451;0,867;0,623;0,0179270552359712;"7";"Tceal9"
"Lgals3bp";1,10516400517004e-06;1,01531590450654;0,64;0,352;0,0196122404357475;"7";"Lgals3bp"
"Rph3al";1,35779860333712e-06;0,64551845910084;0,371;0,06;0,0240954940148205;"7";"Rph3al"
"Upp1";1,58929743057638e-06;0,929776381289339;0,451;0,069;0,0282036722030084;"7";"Upp1"
"Lcorl";1,70411540476055e-06;0,833503818294743;0,582;0,373;0,0302412319728807;"7";"Lcorl"
"Zbtb20";2,36312381697221e-06;0,696160831279468;0,414;0,116;0,0419359952559889;"7";"Zbtb20"
"Scg2";3,72299836291281e-06;2,17131305006822;0,448;0,004;0,0660683289482508;"7";"Scg2"
"Rab3c";3,72299836291281e-06;1,21523062363344;0,394;0,002;0,0660683289482508;"7";"Rab3c"
"Pclo";3,72299836291281e-06;0,852379324411931;0,434;0,003;0,0660683289482508;"7";"Pclo"
