"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Blvrb";2,86698903308197e-131;-0,358652333275382;0,156;0,275;6,43294999242932e-127;"Blvrb"
"Gpx4";3,11431561757336e-130;-0,320354285669436;0,598;0,72;6,98790138271111e-126;"Gpx4"
"Fads2";3,3593533005303e-130;0,447317144177062;0,247;0,14;7,53771693572989e-126;"Fads2"
"Psenen";3,49967443032867e-129;-0,344269572580576;0,359;0,503;7,85256948677148e-125;"Psenen"
"Btf3";1,79264532934464e-128;-0,262430823253907;0,798;0,88;4,02233758998351e-124;"Btf3"
"Ndufb5";9,10760215920928e-128;-0,330563823343756;0,428;0,569;2,04356377248338e-123;"Ndufb5"
"Sept4";3,71645605971451e-127;0,669635655634303;0,433;0,326;8,33898410678741e-123;"Sept4"
"Cd302";2,47799913170441e-126;-0,428320455977497;0,389;0,518;5,56013445171837e-122;"Cd302"
"Lamtor2";1,27090053092635e-125;-0,339059196394522;0,344;0,484;2,85164661129255e-121;"Lamtor2"
"Mdk";3,43398967714239e-124;-0,481703472385681;0,3;0,425;7,7051860375721e-120;"Mdk"
"Esd";6,30025391404404e-124;-0,339905328751392;0,285;0,422;1,4136509732332e-119;"Esd"
"Rnf145";5,40415830205844e-122;0,427792354083908;0,275;0,167;1,21258503981587e-117;"Rnf145"
"Atp5c1";1,73488357552003e-121;-0,329749699300097;0,408;0,544;3,89273176675183e-117;"Atp5c1"
"Mif";2,09070789369309e-120;-0,346899843383106;0,393;0,528;4,69113037186855e-116;"Mif"
"Polr2j";4,07613957260355e-120;-0,308290628291818;0,111;0,214;9,14604197300785e-116;"Polr2j"
"Amotl2";6,0949874777305e-120;0,531276458653271;0,408;0,298;1,36759329025317e-115;"Amotl2"
"Thbd";1,22979622370039e-119;0,611522249545461;0,499;0,394;2,75941676673893e-115;"Thbd"
"Fos";1,86907245167182e-119;0,530705715025965;0,773;0,676;4,19382476706123e-115;"Fos"
"Klf4";4,85737819324176e-119;0,8909606697889;0,552;0,462;1,08989851899959e-114;"Klf4"
"Coa3";5,51280900432839e-119;-0,320796690459338;0,189;0,31;1,2369640843912e-114;"Coa3"
"Rnasek";3,90294947843771e-118;-0,33096422252174;0,421;0,558;8,75743803971854e-114;"Rnasek"
"Gng10";8,6791270456485e-118;-0,347934922949597;0,248;0,374;1,94742252650261e-113;"Gng10"
"Selenof";2,17468701719153e-117;-0,29130902055277;0,633;0,743;4,87956272917436e-113;"Selenof"
"Fis1";2,22564599625842e-117;-0,32958573179682;0,399;0,533;4,99390448640463e-113;"Fis1"
