"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Uqcrb";2,26349984826484e-70;-0,328713691077583;0,324;0,412;5,07884095953665e-66;"Uqcrb"
"Tob1";6,66456050187377e-69;0,406260549955209;0,276;0,195;1,49539408541044e-64;"Tob1"
"S1pr1";7,52005670130472e-69;0,633990983713856;0,177;0,11;1,68735032263875e-64;"S1pr1"
"Ndufs7";1,21101306140282e-68;-0,356029746887599;0,212;0,291;2,71727110717564e-64;"Ndufs7"
"Dnajc19";1,41208398987601e-68;-0,341584275239276;0,178;0,253;3,16843405648379e-64;"Dnajc19"
"Trmt112";2,92543244666306e-68;-0,405210334131613;0,234;0,314;6,56408532382257e-64;"Trmt112"
"Bax";3,320438355494e-68;-0,340894672855882;0,149;0,223;7,45039958205744e-64;"Bax"
"Cd69";4,99942844286299e-68;0,452670214759269;0,566;0,496;1,1217717540096e-63;"Cd69"
"Trbc2";1,04121879075085e-67;-0,428187541329375;0,29;0,376;2,33628672268676e-63;"Trbc2"
"Celf1";1,08589111615736e-67;0,366536491746486;0,374;0,285;2,43652248643388e-63;"Celf1"
"Atp5md";4,68714218188468e-67;-0,414596857260041;0,571;0,65;1,05170096277129e-62;"Atp5md"
"Aurkaip1";4,85474604494818e-67;-0,327085518594938;0,153;0,226;1,08930791756547e-62;"Aurkaip1"
"Adpgk";5,77575477255248e-67;0,305480896096174;0,168;0,1;1,29596385586533e-62;"Adpgk"
"Hspa1b";6,34276209728888e-67;0,395796002003001;0,448;0,355;1,42318895938968e-62;"Hspa1b"
"Zfp36l1";6,91065858004836e-67;0,274620641737682;0,812;0,75;1,55061357219125e-62;"Zfp36l1"
"Pik3cd";5,19956419687512e-66;0,348636226562657;0,337;0,249;1,16667821449484e-61;"Pik3cd"
"Chchd10";1,30357346759732e-65;-0,322854039806058;0,164;0,237;2,92495814659486e-61;"Chchd10"
"Ndufab1";1,4679279604873e-65;-0,357946515652256;0,247;0,326;3,29373675774141e-61;"Ndufab1"
"H2-Aa";2,05651572293706e-65;0,380013459528684;0,513;0,424;4,61440997912617e-61;"H2-Aa"
"Tmem41b";2,2604421452327e-65;0,307961680977397;0,15;0,088;5,07198008547313e-61;"Tmem41b"
"Ccdc12";4,73546149345297e-65;-0,409911746437934;0,167;0,239;1,06254284990098e-60;"Ccdc12"
